Sl.No,Project Name,Task,Start Date,End Date,Task Duration
"244","Prestige Park Grove_Tower 1 to 19","PPG_T7_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:35"
"245","Prestige Park Grove_Tower 1 to 19","PPG_T8_Refuge area_Modelling","24/10/2024","24/10/2024","00:00:20"
"246","Prestige Park Grove_Tower 1 to 19","PPG_T10_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:09"
"247","Prestige Park Grove_Tower 1 to 19","PPG_T10_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:09"
"248","Prestige Park Grove_Tower 1 to 19","PPG_ T18_ GROUND FLOOR _MODELLING ","-","-","hh:mm:ss"
"249","Prestige Park Grove_Tower 1 to 19","PPG_ T16_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","02:36:33"
"250","Prestige Park Grove_Tower 1 to 19","PPG_T5_Terrace floor_Modelling","24/10/2024","24/10/2024","00:03:26"
"251","Prestige Park Grove_Tower 1 to 19","PPG_T5_Terrace floor_Modelling","24/10/2024","24/10/2024","00:03:26"
"252","Prestige Park Grove_Tower 1 to 19","PPG_ T14_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","02:36:34"
"253","Prestige Park Grove_Tower 1 to 19","PPG_T6_Refuge area_Modelling","24/10/2024","24/10/2024","00:00:13"
"254","Prestige Park Grove_Tower 1 to 19","PPG_T1_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:02:04"
"255","Prestige Park Grove_Tower 1 to 19","PPG_T1_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:02:04"
"256","Prestige Park Grove_Tower 1 to 19","PPG_T8_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:12"
"257","Prestige Park Grove_Tower 1 to 19","PPG_T8_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:12"
"258","Prestige Park Grove_Villa, Club House","PPG_VILLA CLUB HOUSE_2ND FLOOR_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"259","Prestige Park Grove_Villa, Club House","PPG_VILLA CLUB HOUSE_2ND FLOOR_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"260","Prestige Park Grove_Tower 1 to 19","PPG_T4_Refuge area_Modelling","24/10/2024","24/10/2024","00:00:13"
"261","Prestige Park Grove_Villa, Club House","V Clubhouse First floor","24/10/2024","24/10/2024","hh:mm:ss"
"262","Prestige Park Grove_Villa, Club House","V Clubhouse First floor","24/10/2024","24/10/2024","hh:mm:ss"
"263","Prestige Park Grove_Villa, Club House","V Clubhouse First floor","24/10/2024","24/10/2024","hh:mm:ss"
"264","Prestige Park Grove_Villa, Club House","V Clubhouse First floor","24/10/2024","24/10/2024","hh:mm:ss"
"265","Prestige Park Grove_Villa, Club House","V Clubhouse First floor","24/10/2024","24/10/2024","hh:mm:ss"
"266","Prestige Park Grove_Tower 1 to 19","PPG_T6_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:16"
"267","Prestige Park Grove_Tower 1 to 19","PPG_T6_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:16"
"268","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 1_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"269","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 1_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"270","Prestige Park Grove_Tower 1 to 19","PPG_T19_1STFLOOR_MODELLING","-","-","hh:mm:ss"
"271","Prestige Park Grove_Tower 1 to 19","PPG_T19_1STFLOOR_MODELLING","-","-","hh:mm:ss"
"272","Prestige Park Grove_Villa, Club House","V Ultima First floor","24/10/2024","24/10/2024","00:00:20"
"273","Prestige Park Grove_Villa, Club House","V Ultima First floor","24/10/2024","24/10/2024","00:00:20"
"274","Prestige Park Grove_Villa, Club House","V Ultima First floor","24/10/2024","24/10/2024","00:00:20"
"275","Prestige Park Grove_Villa, Club House","V Ultima First floor","24/10/2024","24/10/2024","00:00:20"
"276","Prestige Park Grove_Villa, Club House","V Ultima First floor","24/10/2024","24/10/2024","00:00:20"
"277","Prestige Park Grove_Tower 1 to 19","PPG_T4_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:14"
"278","Prestige Park Grove_Tower 1 to 19","PPG_T4_2nd floor_Modelling","24/10/2024","24/10/2024","00:00:14"
"279","Prestige Park Grove_Tower 1 to 19","PPG_T17_1STFLOOR_MODELLING","24/10/2024","24/10/2024","02:49:24"
"280","Prestige Park Grove_Tower 1 to 19","PPG_T17_1STFLOOR_MODELLING","24/10/2024","24/10/2024","02:49:24"
"281","Prestige Park Grove_Tower 1 to 19","PPG_T2_Refuge area_Modelling","24/10/2024","24/10/2024","00:01:17"
"282","Prestige Park Grove_Tower 1 to 19","PPG_T18_4TH FLOOR_MODELLING","-","-","hh:mm:ss"
"283","Prestige Park Grove_Tower 1 to 19","PPG_T18_4TH FLOOR_MODELLING","-","-","hh:mm:ss"
"284","Prestige Park Grove_Tower 1 to 19","PPG_T18_3rd floor_Modelling","-","-","hh:mm:ss"
"285","Prestige Park Grove_Tower 1 to 19","PPG_T18_3rd floor_Modelling","-","-","hh:mm:ss"
"286","Prestige Park Grove_Tower 1 to 19","PPG_T18_3rd floor_Modelling","-","-","hh:mm:ss"
"287","Prestige Park Grove_Tower 1 to 19","PPG_T18_3rd floor_Modelling","-","-","hh:mm:ss"
"288","Prestige Park Grove_Tower 1 to 19","PPG_T18_3rd floor_Modelling","-","-","hh:mm:ss"
"289","Prestige Park Grove_Tower 1 to 19","PPG_T15_1STFLOOR_MODELLING","24/10/2024","24/10/2024","02:49:19"
"290","Prestige Park Grove_Tower 1 to 19","PPG_T15_1STFLOOR_MODELLING","24/10/2024","24/10/2024","02:49:19"
"291","Prestige Park Grove_Tower 1 to 19","PPG_T2_2nd FLOOR_Modelling","24/10/2024","24/10/2024","00:00:12"
"292","Prestige Park Grove_Tower 1 to 19","PPG_T2_2nd FLOOR_Modelling","24/10/2024","24/10/2024","00:00:12"
"293","Prestige Park Grove_Tower 1 to 19","PPG_ T12_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","00:01:17"
"294","Prestige Park Grove_Tower 1 to 19","PPG_ T10_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","00:01:25"
"295","Prestige Park Grove_Tower 1 to 19","PPG_T3_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:48"
"296","Prestige Park Grove_Tower 1 to 19","PPG_T3_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:48"
"297","Prestige Park Grove_Tower 1 to 19","PPG_T13_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:20"
"298","Prestige Park Grove_Tower 1 to 19","PPG_T13_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:20"
"299","Prestige Park Grove_Tower 1 to 19","PPG_ T8_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","00:01:35"
"300","Prestige Park Grove_Tower 1 to 19","PPG_T16_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"301","Prestige Park Grove_Tower 1 to 19","PPG_T16_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"302","Prestige Park Grove_Tower 1 to 19","PPG_T14_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","03:05:08"
"303","Prestige Park Grove_Tower 1 to 19","PPG_T14_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","03:05:08"
"304","Prestige Park Grove_Tower 1 to 19","PPG_T11_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:14"
"305","Prestige Park Grove_Tower 1 to 19","PPG_T11_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:14"
"306","Prestige Park Grove_Tower 1 to 19","PPG_T16_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"307","Prestige Park Grove_Tower 1 to 19","PPG_T16_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"308","Prestige Park Grove_Tower 1 to 19","PPG_T16_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"309","Prestige Park Grove_Tower 1 to 19","PPG_T16_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"310","Prestige Park Grove_Tower 1 to 19","PPG_T16_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"311","Prestige Park Grove_Tower 1 to 19","PPG_ T6_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","00:01:40"
"312","Prestige Park Grove_Tower 1 to 19","PPG_T9_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:52"
"313","Prestige Park Grove_Tower 1 to 19","PPG_T9_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:52"
"314","Prestige Park Grove_Tower 1 to 19","PPG_T14_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"315","Prestige Park Grove_Tower 1 to 19","PPG_T14_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"316","Prestige Park Grove_Tower 1 to 19","PPG_T14_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"317","Prestige Park Grove_Tower 1 to 19","PPG_T14_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"318","Prestige Park Grove_Tower 1 to 19","PPG_T14_3rd floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"319","Prestige Park Grove_Tower 1 to 19","PPG_T7_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:52"
"320","Prestige Park Grove_Tower 1 to 19","PPG_T7_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:52"
"321","Prestige Park Grove_Tower 1 to 19","PPG_ T4_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","00:01:45"
"322","Prestige Park Grove_Tower 1 to 19","PPG_T12_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"323","Prestige Park Grove_Tower 1 to 19","PPG_T12_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"324","Prestige Park Grove_Tower 1 to 19","PPG_T12_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"325","Prestige Park Grove_Tower 1 to 19","PPG_T12_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"326","Prestige Park Grove_Tower 1 to 19","PPG_T12_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"327","Prestige Park Grove_Tower 1 to 19","PPG_ T2_ GROUND FLOOR _MODELLING ","24/10/2024","24/10/2024","00:02:03"
"328","Prestige Park Grove_Tower 1 to 19","PPG_T12_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:08"
"329","Prestige Park Grove_Tower 1 to 19","PPG_T12_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:08"
"330","Prestige Park Grove_Tower 1 to 19","PPG_T10_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:11"
"331","Prestige Park Grove_Tower 1 to 19","PPG_T10_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:11"
"332","Prestige Park Grove_Tower 1 to 19","PPG_T10_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:11"
"333","Prestige Park Grove_Tower 1 to 19","PPG_T10_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:11"
"334","Prestige Park Grove_Tower 1 to 19","PPG_T10_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:11"
"335","Prestige Park Grove_Tower 1 to 19","PPG_T10_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:10"
"336","Prestige Park Grove_Tower 1 to 19","PPG_T10_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:10"
"337","Prestige Park Grove_Tower 1 to 19","PPG_T8_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:19"
"338","Prestige Park Grove_Tower 1 to 19","PPG_T8_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:19"
"339","Prestige Park Grove_Tower 1 to 19","PPG_T8_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:19"
"340","Prestige Park Grove_Tower 1 to 19","PPG_T8_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:19"
"341","Prestige Park Grove_Tower 1 to 19","PPG_T8_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:19"
"342","Prestige Park Grove_Tower 1 to 19","PPG_T5_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:55"
"343","Prestige Park Grove_Tower 1 to 19","PPG_T5_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:55"
"344","Prestige Park Grove_Tower 1 to 19","PPG_T6_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"345","Prestige Park Grove_Tower 1 to 19","PPG_T6_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"346","Prestige Park Grove_Tower 1 to 19","PPG_T6_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"347","Prestige Park Grove_Tower 1 to 19","PPG_T6_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"348","Prestige Park Grove_Tower 1 to 19","PPG_T6_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"349","Prestige Park Grove_Tower 1 to 19","PPG_T8_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:16"
"350","Prestige Park Grove_Tower 1 to 19","PPG_T8_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:16"
"351","Prestige Park Grove_Tower 1 to 19","PPG_T4_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:33"
"352","Prestige Park Grove_Tower 1 to 19","PPG_T4_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:33"
"353","Prestige Park Grove_Tower 1 to 19","PPG_T4_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:33"
"354","Prestige Park Grove_Tower 1 to 19","PPG_T4_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:33"
"355","Prestige Park Grove_Tower 1 to 19","PPG_T4_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:33"
"356","Prestige Park Grove_Tower 1 to 19","PPG_T3_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:55"
"357","Prestige Park Grove_Tower 1 to 19","PPG_T3_1STFLOOR_MODELLING","24/10/2024","24/10/2024","00:01:55"
"358","Prestige Park Grove_Tower 1 to 19","PPG_T6_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:36"
"359","Prestige Park Grove_Tower 1 to 19","PPG_T6_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:36"
"360","Prestige Park Grove_Tower 1 to 19","PPG_T4_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:38"
"361","Prestige Park Grove_Tower 1 to 19","PPG_T4_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:38"
"362","Prestige Park Grove_Tower 1 to 19","PPG_T2_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:22"
"363","Prestige Park Grove_Tower 1 to 19","PPG_T2_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:22"
"364","Prestige Park Grove_Tower 1 to 19","PPG_T2_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:22"
"365","Prestige Park Grove_Tower 1 to 19","PPG_T2_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:22"
"366","Prestige Park Grove_Tower 1 to 19","PPG_T2_3rd floor_Modelling","24/10/2024","24/10/2024","00:00:22"
"367","Prestige Park Grove_Tower 1 to 19","PPG_T1_Terrace floor_Modelling","24/10/2024","24/10/2024","00:04:08"
"368","Prestige Park Grove_Tower 1 to 19","PPG_T1_Terrace floor_Modelling","24/10/2024","24/10/2024","00:04:08"
"369","Prestige Park Grove_Tower 1 to 19","PPG_T2_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:18"
"370","Prestige Park Grove_Tower 1 to 19","PPG_T2_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:18"
"371","Prestige Park Grove_Tower 1 to 19","PPG_T2_1st floor Modelling","24/10/2024","24/10/2024","00:01:35"
"372","Prestige Park Grove_Villa, Club House","Modelling","24/10/2024","24/10/2024","00:13:28"
"373","Prestige Park Grove_Villa, Club House","Modelling","24/10/2024","24/10/2024","00:13:28"
"374","Prestige Park Grove_Villa, Club House","Modelling","24/10/2024","24/10/2024","00:13:28"
"375","Prestige Park Grove_Villa, Club House","Modelling","24/10/2024","24/10/2024","00:13:28"
"376","Prestige Park Grove_Villa, Club House","Modelling","24/10/2024","24/10/2024","00:13:28"
"377","Prestige Park Grove_Villa, Club House","Modelling","23/10/2024","23/10/2024","01:15:26"
"378","Prestige Park Grove_Villa, Club House","Modelling","23/10/2024","23/10/2024","01:15:26"
"379","Others","Mariam Webster","23/09/2024","23/09/2024","hh:mm:ss"
"380","Others","Nash Gilbert","04/12/2024","04/12/2024","00:00:08"
"381","Others","Rajah Mccray","23/09/2024","23/09/2024","00:00:11"
"382","Others","Setting up outlook for swifterz employees","21/08/2024","21/08/2024","00:06:18"
"383","Others","Meeting with RIL IT team","20/08/2024","20/08/2024","00:00:10"
"384","Others","Meeting with Bexel India","20/08/2024","20/08/2024","00:00:44"
"385","Others","Fixing Appointment","-","-","hh:mm:ss"
"386","Others","Follow up with Suspects and prospects","-","-","hh:mm:ss"
"387","Others","pre qualification docs ","-","-","hh:mm:ss"
"388","Others","Hiring Poster for Bexel Manager","19/08/2024","19/08/2024","00:00:11"
"389","Others","Hiring Poster for Bexel Manager","19/08/2024","19/08/2024","00:00:11"
"390","Others","Negotiation through event participation","-","-","hh:mm:ss"
"391","Others","pre qualification docs ","-","-","hh:mm:ss"
"392","Others","meeting ","-","-","hh:mm:ss"
"393","Others","Solving Internet Issuses","17/08/2024","17/08/2024","00:00:08"
"394","Others","KR Pete College Visit","20/08/2024","20/08/2024","00:00:32"
"395","Others","Resetting the extra laptops","16/08/2024","16/08/2024","04:26:55"
"396","Others","Meeting with Fazail","19/08/2024","19/08/2024","00:00:09"
"397","Others","Resetting the extra laptops","14/08/2024","14/08/2024","03:49:07"
"398","Others","Calls for partenship company","14/08/2024","21/08/2024","163:40:00"
"399","Others","Onboarding through Platform - Consultants","-","-","hh:mm:ss"
"400","Others","Independent Consultant Agreement Signup / Offer letters for In House team","-","-","hh:mm:ss"
"401","Others","Negotiation & Followup - In House team","-","-","hh:mm:ss"
"402","Others","Technical Evaluation","04/12/2024","04/12/2024","00:01:58"
"403","Others","Partnership Form Followup","-","-","hh:mm:ss"
"404","Others","Event (consultant partnership) ","04/12/2024","04/12/2024","00:01:55"
"405","Others","Approaching Database","-","-","hh:mm:ss"
"406","Others","Database Mobilization","-","-","hh:mm:ss"
"407","Others","Digital Marketing","-","-","hh:mm:ss"
"408","Others","Event Poster Creation","-","-","hh:mm:ss"
"409","Others","Event Poster Creation","-","-","hh:mm:ss"
"410","Others","Onboarding through Platform - Consultants","-","-","hh:mm:ss"
"411","Others","Independent Consultant Agreement Signup / Offer letters for In House team","-","-","hh:mm:ss"
"412","Others","Negotiation & Followup - In House team","-","-","hh:mm:ss"
"413","Others","Technical Evaluation","04/12/2024","04/12/2024","00:01:55"
"414","Others","Partnership Form Followup","-","-","hh:mm:ss"
"415","Others","Filtering the CVS From indeed for swifterz Creative Services","14/08/2024","21/08/2024","163:39:57"
"416","Others","Event (consultant partnership) ","04/12/2024","04/12/2024","00:02:38"
"417","Others","Registrations Monitoring","-","-","hh:mm:ss"
"418","Others","Approaching Database","-","-","hh:mm:ss"
"419","Others","Database Mobilization","-","-","hh:mm:ss"
"420","Others","Digital Marketing","-","-","hh:mm:ss"
"421","Others","Event Poster Creation","-","-","hh:mm:ss"
"422","Others","Event Poster Creation","-","-","hh:mm:ss"
"423","Others","Onboarding through Platform - Consultants","-","-","hh:mm:ss"
"424","Others","Independent Consultant Agreement Signup / Offer letters for In House team","-","-","hh:mm:ss"
"425","Others","Negotiation & Followup - In House team","-","-","hh:mm:ss"
"426","Others","Technical Evaluation","04/12/2024","04/12/2024","00:02:37"
"427","Others","Partnership Form Followup","-","-","hh:mm:ss"
"428","Others","Event (consultant partnership) ","04/12/2024","04/12/2024","00:02:35"
"429","Others","Registrations Monitoring","-","-","hh:mm:ss"
"430","Others","Approaching Database","-","-","hh:mm:ss"
"431","Others","Database Mobilization","-","-","hh:mm:ss"
"432","Others","Digital Marketing","-","-","hh:mm:ss"
"433","Others","Event Poster Creation","-","-","hh:mm:ss"
"434","Others","Event Poster Creation","-","-","hh:mm:ss"
"435","Others","resetting  and installing the required softwares in  laptops","14/08/2024","14/08/2024","02:39:35"
"436","Others","taking backup and Exchanging laptops","13/08/2024","13/08/2024","03:13:18"
"437","Others","Onboarding through Platform - Consultants","-","-","hh:mm:ss"
"438","Others","Independent Consultant Agreement Signup / Offer letters for In House team","-","-","hh:mm:ss"
"439","Others","Negotiation & Followup - In House team","-","-","hh:mm:ss"
"440","Others","Technical Evaluation","04/12/2024","04/12/2024","hh:mm:ss"
"441","Others","Partnership Form Followup","-","-","hh:mm:ss"
"442","Others","Event (consultant partnership) ","04/12/2024","04/12/2024","00:01:52"
"443","Others","Registrations Monitoring","-","-","hh:mm:ss"
"444","Others","Approaching Database","-","-","hh:mm:ss"
"445","Others","Database Mobilization","-","-","hh:mm:ss"
"446","Others","Digital Marketing","-","-","hh:mm:ss"
"447","Others","Event Poster Creation","-","-","hh:mm:ss"
"448","Others","Event Poster Creation","-","-","hh:mm:ss"
"449","Others","Onboarding through Platform - Consultants","-","-","hh:mm:ss"
"450","Others","Independent Consultant Agreement Signup / Offer letters for In House team","-","-","hh:mm:ss"
"451","Others","Negotiation & Followup - In House team","-","-","hh:mm:ss"
"452","Others","Technical Evaluation","04/12/2024","04/12/2024","00:01:40"
"453","Others","Partnership Form Followup","-","-","hh:mm:ss"
"454","Others","Event (consultant partnership) ","04/12/2024","04/12/2024","hh:mm:ss"
"455","Others","Registrations Monitoring","-","-","hh:mm:ss"
"456","Others","Approaching Database","-","-","hh:mm:ss"
"457","Others","Database Mobilization","-","-","hh:mm:ss"
"458","Others","Webinar Content PPT Preparation","04/12/2024","04/12/2024","hh:mm:ss"
"459","Others","Event Poster Creation","-","-","hh:mm:ss"
"460","Others","Event Poster Creation","-","-","hh:mm:ss"
"461","Others","Event Registration Page","-","-","hh:mm:ss"
"462","Others","Event Registration Page","-","-","hh:mm:ss"
"463","Others","Digital Marketing","-","-","hh:mm:ss"
"464","Others","Partnership Form creation","-","-","hh:mm:ss"
"465","Others","Dashboard preparation for Partnership","-","-","hh:mm:ss"
"466","Others","Independent Consultant Agreement Preparation","-","-","hh:mm:ss"
"467","Others","NDA Document Preparation","-","-","hh:mm:ss"
"468","Others","Onboarding through Platform","04/12/2024","04/12/2024","hh:mm:ss"
"469","Others","Partnership Agreement Signup & Followup","-","-","hh:mm:ss"
"470","Others","Technical Evaluation","-","-","hh:mm:ss"
"471","Others","Partnership Form Followup","04/12/2024","04/12/2024","00:00:43"
"472","Others","Online Presentation with decision makers","14/08/2024","14/08/2024","00:50:34"
"473","Others","Cold Calling ","04/12/2024","04/12/2024","00:00:45"
"474","Others","Online Meeting Schedule","04/12/2024","04/12/2024","hh:mm:ss"
"475","Others","Partnership Form creation","-","-","hh:mm:ss"
"476","Others","Dashboard preparation for Partnership","-","-","hh:mm:ss"
"477","Others","NDA Document Preparation","-","-","hh:mm:ss"
"478","Others","Practicisng secure coding softwares in kali linux","08/08/2024","08/08/2024","03:10:48"
"479","Others","Installing a softwares(Revit ,Navisworks and autocad) for Nagendran sir","08/08/2024","08/08/2024","04:40:43"
"480","Others","Solving Internet Issuses","26/07/2024","26/07/2024","00:00:05"
"481","Others","Creating the license ID for the Revit and Autocad Softwares","25/07/2024","25/07/2024","03:42:16"
"482","Others","Solving the login issues for Interns","25/07/2024","25/07/2024","01:00:46"
"483","Others","Resolved Internet Issuses ","25/07/2024","25/07/2024","04:00:28"
